Category Name,Extract Schedule (UTC),Transform Schedule (UTC),Extract Item Schedule (UTC),Transform Item Schedule (UTC),Extract Container Name,Extract Cron Schedule,Transform Container Name,Transform Cron Schedule,Extract Item Container Name,Extract Item Cron Schedule,Transform Item Container Name,Transform Item Cron Schedule,category_code
Printer-Foto-cat.11044588.11044612,4:00,5:00,18:45,23:45,shp-ext-printer-foto,0 4 * * *,shp-tfm-printer-foto,0 5 * * *,shp-ext-printer-foto-itm,45 18 * * *,shp-tfm-printer-foto-itm,45 23 * * *,11044612
Tas-Casing-Kamera-cat.11044588.11044613,4:00,5:00,19:15,0:15,shp-ext-tas-casing-kamera,0 4 * * *,shp-tfm-tas-casing-kamera,0 5 * * *,shp-ext-tas-casing-kamera-itm,15 19 * * *,shp-tfm-tas-casing-kamera-itm,15 0 * * *,11044613
Charger-Baterai-cat.11044588.11044614,4:00,5:00,19:45,0:45,shp-ext-charger-baterai,0 4 * * *,shp-tfm-charger-baterai,0 5 * * *,shp-ext-charger-baterai-itm,45 19 * * *,shp-tfm-charger-baterai-itm,45 0 * * *,11044614
Baterai-Battery-Grip-cat.11044588.11044615,4:00,5:00,20:15,1:15,shp-ext-baterai-battery-grip,0 4 * * *,shp-tfm-baterai-battery-grip,0 5 * * *,shp-ext-baterai-battery-grip-itm,15 20 * * *,shp-tfm-baterai-battery-grip-itm,15 1 * * *,11044615
Tripod-Monopod-Aksesoris-cat.11044588.11044616,4:15,5:15,20:45,1:45,shp-ext-tripod-monopod-aksesoris,15 4 * * *,shp-tfm-tripod-monopod-aksesoris,15 5 * * *,shp-ext-tripod-monopod-aksesoris-itm,45 20 * * *,shp-tfm-tripod-monopod-aksesoris-itm,45 1 * * *,11044616
Kartu-Memori-cat.11044588.11044617,4:15,5:15,21:15,2:15,shp-ext-kartu-memori,15 4 * * *,shp-tfm-kartu-memori,15 5 * * *,shp-ext-kartu-memori-itm,15 21 * * *,shp-tfm-kartu-memori-itm,15 2 * * *,11044617
Perawatan-Kamera-cat.11044588.11044619,4:15,5:15,21:45,2:45,shp-ext-perawatan-kamera,15 4 * * *,shp-tfm-perawatan-kamera,15 5 * * *,shp-ext-perawatan-kamera-itm,45 21 * * *,shp-tfm-perawatan-kamera-itm,45 2 * * *,11044619
Drone-Aksesoris-cat.11044588.11044626,4:15,5:15,22:15,3:15,shp-ext-drone-aksesoris,15 4 * * *,shp-tfm-drone-aksesoris,15 5 * * *,shp-ext-drone-aksesoris-itm,15 22 * * *,shp-tfm-drone-aksesoris-itm,15 3 * * *,11044626
Gimbal-Stabilizer-cat.11044588.11044630,4:15,5:15,22:45,3:45,shp-ext-gimbal-stabilizer,15 4 * * *,shp-tfm-gimbal-stabilizer,15 5 * * *,shp-ext-gimbal-stabilizer-itm,45 22 * * *,shp-tfm-gimbal-stabilizer-itm,45 3 * * *,11044630
Lensa-Aksesoris-cat.11044588.11044598,4:30,5:30,23:15,4:15,shp-ext-lensa-aksesoris,30 4 * * *,shp-tfm-lensa-aksesoris,30 5 * * *,shp-ext-lensa-aksesoris-itm,15 23 * * *,shp-tfm-lensa-aksesoris-itm,15 4 * * *,11044598
Flash-Aksesoris-cat.11044588.11044605,4:30,5:30,23:45,4:45,shp-ext-flash-aksesoris,30 4 * * *,shp-tfm-flash-aksesoris,30 5 * * *,shp-ext-flash-aksesoris-itm,45 23 * * *,shp-tfm-flash-aksesoris-itm,45 4 * * *,11044605
Kartu-Perdana-cat.11044458.11044459,4:30,5:30,0:15,5:15,shp-ext-kartu-perdana,30 4 * * *,shp-tfm-kartu-perdana,30 5 * * *,shp-ext-kartu-perdana-itm,15 0 * * *,shp-tfm-kartu-perdana-itm,15 5 * * *,11044459
Tablet-cat.11044458.11044460,4:30,5:30,0:45,5:45,shp-ext-tablet,30 4 * * *,shp-tfm-tablet,30 5 * * *,shp-ext-tablet-itm,45 0 * * *,shp-tfm-tablet-itm,45 5 * * *,11044460
Handphone-cat.11044458.11044476,4:30,5:30,1:15,6:15,shp-ext-handphone,30 4 * * *,shp-tfm-handphone,30 5 * * *,shp-ext-handphone-itm,15 1 * * *,shp-tfm-handphone-itm,15 6 * * *,11044476
Perangkat-Wearable-cat.11044458.11044504,4:45,5:45,1:45,6:45,shp-ext-perangkat-wearable,45 4 * * *,shp-tfm-perangkat-wearable,45 5 * * *,shp-ext-perangkat-wearable-itm,45 1 * * *,shp-tfm-perangkat-wearable-itm,45 6 * * *,11044504
Perangkat-VR-cat.11044458.11044507,4:45,5:45,2:15,7:15,shp-ext-perangkat-vr,45 4 * * *,shp-tfm-perangkat-vr,45 5 * * *,shp-ext-perangkat-vr-itm,15 2 * * *,shp-tfm-perangkat-vr-itm,15 7 * * *,11044507
Aksesoris-Selfie-cat.11044458.11044508,4:45,5:45,2:45,7:45,shp-ext-aksesoris-selfie,45 4 * * *,shp-tfm-aksesoris-selfie,45 5 * * *,shp-ext-aksesoris-selfie-itm,45 2 * * *,shp-tfm-aksesoris-selfie-itm,45 7 * * *,11044508
Handphone-Tablet-Aksesoris-cat.11044458.11044514,4:45,5:45,3:15,8:15,shp-ext-handphone-tablet-aksesoris,45 4 * * *,shp-tfm-handphone-tablet-aksesoris,45 5 * * *,shp-ext-handphone-tablet-aksesoris-itm,15 3 * * *,shp-tfm-handphone-tablet-aksesoris-itm,15 8 * * *,11044514
Kartu-Memori-cat.11044458.11044523,4:45,5:45,3:45,8:45,shp-ext-kartu-memori,45 4 * * *,shp-tfm-kartu-memori,45 5 * * *,shp-ext-kartu-memori-itm,45 3 * * *,shp-tfm-kartu-memori-itm,45 8 * * *,11044523
Kabel-Charger-Konverter-cat.11044458.11044527,5:00,6:00,4:15,9:15,shp-ext-kabel-charger-konverter,0 5 * * *,shp-tfm-kabel-charger-konverter,0 6 * * *,shp-ext-kabel-charger-konverter-itm,15 4 * * *,shp-tfm-kabel-charger-konverter-itm,15 9 * * *,11044527
Powerbank-Baterai-cat.11044458.11044534,5:00,6:00,4:45,9:45,shp-ext-powerbank-baterai,0 5 * * *,shp-tfm-powerbank-baterai,0 6 * * *,shp-ext-powerbank-baterai-itm,45 4 * * *,shp-tfm-powerbank-baterai-itm,45 9 * * *,11044534
Casing-Skin-cat.11044458.11044539,5:00,6:00,5:15,10:15,shp-ext-casing-skin,0 5 * * *,shp-tfm-casing-skin,0 6 * * *,shp-ext-casing-skin-itm,15 5 * * *,shp-tfm-casing-skin-itm,15 10 * * *,11044539
Audio-Handphone-cat.11044458.11044544,5:00,6:00,5:45,10:45,shp-ext-audio-handphone,0 5 * * *,shp-tfm-audio-handphone,0 6 * * *,shp-ext-audio-handphone-itm,45 5 * * *,shp-tfm-audio-handphone-itm,45 10 * * *,11044544
Aksesoris-Hewan-Peliharaan-cat.11043572.11043584,5:00,6:00,6:15,11:15,shp-ext-aksesoris-hewan-peliharaan,0 5 * * *,shp-tfm-aksesoris-hewan-peliharaan,0 6 * * *,shp-ext-aksesoris-hewan-peliharaan-itm,15 6 * * *,shp-tfm-aksesoris-hewan-peliharaan-itm,15 11 * * *,11043584
Litter-Toilet-cat.11043572.11043596,5:15,6:15,6:45,11:45,shp-ext-litter-toilet,15 5 * * *,shp-tfm-litter-toilet,15 6 * * *,shp-ext-litter-toilet-itm,45 6 * * *,shp-tfm-litter-toilet-itm,45 11 * * *,11043596
Grooming-Hewan-cat.11043572.11043603,5:15,6:15,7:15,12:15,shp-ext-grooming-hewan,15 5 * * *,shp-tfm-grooming-hewan,15 6 * * *,shp-ext-grooming-hewan-itm,15 7 * * *,shp-tfm-grooming-hewan-itm,15 12 * * *,11043603
Pakaian-Aksesoris-Hewan-cat.11043572.11043608,5:15,6:15,7:45,12:45,shp-ext-pakaian-aksesoris-hewan,15 5 * * *,shp-tfm-pakaian-aksesoris-hewan,15 6 * * *,shp-ext-pakaian-aksesoris-hewan-itm,45 7 * * *,shp-tfm-pakaian-aksesoris-hewan-itm,45 12 * * *,11043608
Perawatan-Kesehatan-Hewan-cat.11043572.11043617,5:15,6:15,8:15,13:15,shp-ext-perawatan-kesehatan-hewan,15 5 * * *,shp-tfm-perawatan-kesehatan-hewan,15 6 * * *,shp-ext-perawatan-kesehatan-hewan-itm,15 8 * * *,shp-tfm-perawatan-kesehatan-hewan-itm,15 13 * * *,11043617
Makanan-Hewan-cat.11043572.11043573,5:15,6:15,8:45,13:45,shp-ext-makanan-hewan,15 5 * * *,shp-tfm-makanan-hewan,15 6 * * *,shp-ext-makanan-hewan-itm,45 8 * * *,shp-tfm-makanan-hewan-itm,45 13 * * *,11043573
Koleksi-cat.11043572.11043622,5:30,6:30,9:15,14:15,shp-ext-koleksi,30 5 * * *,shp-tfm-koleksi,30 6 * * *,shp-ext-koleksi-itm,15 9 * * *,shp-tfm-koleksi-itm,15 14 * * *,11043622
Mainan-Games-cat.11043572.11043633,5:30,6:30,9:45,14:45,shp-ext-mainan-games,30 5 * * *,shp-tfm-mainan-games,30 6 * * *,shp-ext-mainan-games-itm,45 9 * * *,shp-tfm-mainan-games-itm,45 14 * * *,11043633
CD-DVD-Bluray-cat.11043572.11043647,5:30,6:30,10:15,15:15,shp-ext-cd-dvd-bluray,30 5 * * *,shp-tfm-cd-dvd-bluray,30 6 * * *,shp-ext-cd-dvd-bluray-itm,15 10 * * *,shp-tfm-cd-dvd-bluray-itm,15 15 * * *,11043647
Alat-Aksesoris-Musik-cat.11043572.11043648,5:30,6:30,10:45,15:45,shp-ext-alat-aksesoris-musik,30 5 * * *,shp-tfm-alat-aksesoris-musik,30 6 * * *,shp-ext-alat-aksesoris-musik-itm,45 10 * * *,shp-tfm-alat-aksesoris-musik-itm,45 15 * * *,11043648
Piringan-Hitam-cat.11043572.11043656,5:30,6:30,11:15,16:15,shp-ext-piringan-hitam,30 5 * * *,shp-tfm-piringan-hitam,30 6 * * *,shp-ext-piringan-hitam-itm,15 11 * * *,shp-tfm-piringan-hitam-itm,15 16 * * *,11043656
Album-Foto-cat.11043572.11043657,5:45,6:45,11:45,16:45,shp-ext-album-foto,45 5 * * *,shp-tfm-album-foto,45 6 * * *,shp-ext-album-foto-itm,45 11 * * *,shp-tfm-album-foto-itm,45 16 * * *,11043657
Perlengkapan-Menjahit-cat.11043572.11043658,5:45,6:45,12:15,17:15,shp-ext-perlengkapan-menjahit,45 5 * * *,shp-tfm-perlengkapan-menjahit,45 6 * * *,shp-ext-perlengkapan-menjahit-itm,15 12 * * *,shp-tfm-perlengkapan-menjahit-itm,15 17 * * *,11043658
Perlengkapan-Travelling-Bayi-cat.11043350.11043351,5:45,6:45,12:45,17:45,shp-ext-perlengkapan-travelling-bayi,45 5 * * *,shp-tfm-perlengkapan-travelling-bayi,45 6 * * *,shp-ext-perlengkapan-travelling-bayi-itm,45 12 * * *,shp-tfm-perlengkapan-travelling-bayi-itm,45 17 * * *,11043351
Peralatan-Aksesoris-Makan-cat.11043350.11043360,5:45,6:45,13:15,18:15,shp-ext-peralatan-aksesoris-makan,45 5 * * *,shp-tfm-peralatan-aksesoris-makan,45 6 * * *,shp-ext-peralatan-aksesoris-makan-itm,15 13 * * *,shp-tfm-peralatan-aksesoris-makan-itm,15 18 * * *,11043360
