Category Code,Code Unik,Category,Pop Up,Link
jual-dompet-kartu-wanita,/?ajax=true&isFirstRequest=true&page=,Dompet Kartu Wanita,0,https://www.lazada.co.id/jual-dompet-kartu-wanita/?ajax=true&isFirstRequest=true&page=
tas-genggam-wanita,/?ajax=true&isFirstRequest=true&page=,Clutches,0,https://www.lazada.co.id/tas-genggam-wanita/?ajax=true&isFirstRequest=true&page=
jual-dompet-koin-pouch-wanita,/?ajax=true&isFirstRequest=true&page=,Dompet Koin & Pouch Wanita,0,https://www.lazada.co.id/jual-dompet-koin-pouch-wanita/?ajax=true&isFirstRequest=true&page=
tas-selempang-badan-wanita,/?ajax=true&isFirstRequest=true&page=,Tas Selempang Wanita,0,https://www.lazada.co.id/tas-selempang-badan-wanita/?ajax=true&isFirstRequest=true&page=
shop-tas-mewah-wanita,/?ajax=true&isFirstRequest=true&page=,Tas Luxury Wanita,0,https://www.lazada.co.id/shop-tas-mewah-wanita/?ajax=true&isFirstRequest=true&page=
top-handle-bag,/?ajax=true&isFirstRequest=true&page=,Top-handle Bag,0,https://www.lazada.co.id/top-handle-bag/?ajax=true&isFirstRequest=true&page=
tote-bag-wanita,/?ajax=true&isFirstRequest=true&page=,Tote Bag Wanita,0,https://www.lazada.co.id/tote-bag-wanita/?ajax=true&isFirstRequest=true&page=
jual-dompet-wanita,/?ajax=true&isFirstRequest=true&page=,Dompet Wanita,0,https://www.lazada.co.id/jual-dompet-wanita/?ajax=true&isFirstRequest=true&page=
beli-wanita-perhiasan-fashion/,/?ajax=true&isFirstRequest=true&page=,Perhiasan Fashion Wanita,0,https://www.lazada.co.id/beli-wanita-perhiasan-fashion//?ajax=true&isFirstRequest=true&page=
beli-wanita-logam-berharga,/?ajax=true&isFirstRequest=true&page=,Logam Berharga,0,https://www.lazada.co.id/beli-wanita-logam-berharga/?ajax=true&isFirstRequest=true&page=
beli-jam-tangan-wanita,/?ajax=true&isFirstRequest=true&page=,Jam Tangan Wanita,0,https://www.lazada.co.id/beli-jam-tangan-wanita/?ajax=true&isFirstRequest=true&page=
shop-aksesori-jam-tangan-wanita,/?ajax=true&isFirstRequest=true&page=,Aksesoris Jam Wanita,0,https://www.lazada.co.id/shop-aksesori-jam-tangan-wanita/?ajax=true&isFirstRequest=true&page=
