os,url,kode
kinoindonesia,https://ace.tokopedia.com/search/product/v4?shop_id=2230885&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,
klikdoktersofficialstore,https://ace.tokopedia.com/search/product/v4?shop_id=2443009&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,2443009
klipsch,https://ace.tokopedia.com/search/product/v4?shop_id=8770441&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,8770441
kopikenanganid,https://ace.tokopedia.com/search/product/v4?shop_id=7294606&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,7294606
lafontepasta,https://ace.tokopedia.com/search/product/v4?shop_id=7886252&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,
leekumkeeofficial,https://ace.tokopedia.com/search/product/v4?shop_id=13521157&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,13521157
lenovo-official,https://ace.tokopedia.com/search/product/v4?shop_id=2411241&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,2411241
levis-official,https://ace.tokopedia.com/search/product/v4?shop_id=5345633&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,
lg-monitor,https://ace.tokopedia.com/search/product/v4?shop_id=11602942&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,11602942
lgprojectorofficialstore,https://ace.tokopedia.com/search/product/v4?shop_id=12227708&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,12227708
loccitaneshop,https://ace.tokopedia.com/search/product/v4?shop_id=5952222&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,
locknlock-id,https://ace.tokopedia.com/search/product/v4?shop_id=2147991&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,
logitech-g,https://ace.tokopedia.com/search/product/v4?shop_id=2670965&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,
lottemartofficial,https://ace.tokopedia.com/search/product/v4?shop_id=14224375&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,14224375
lovebonitoid,https://ace.tokopedia.com/search/product/v4?shop_id=9633142&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,9633142
makarizo,https://ace.tokopedia.com/search/product/v4?shop_id=1975230&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,1975230
makarizo-pro,https://ace.tokopedia.com/search/product/v4?shop_id=2937222&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,2937222
makukuofficialstore,https://ace.tokopedia.com/search/product/v4?shop_id=11896962&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,11896962
Maybelline,https://ace.tokopedia.com/search/product/v4?shop_id=5763048&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,
Mayora,https://ace.tokopedia.com/search/product/v4?shop_id=3150060&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,
mensahealthcare,https://ace.tokopedia.com/search/product/v4?shop_id=6972885&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,6972885
merriesofficial,https://ace.tokopedia.com/search/product/v4?shop_id=6016352&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,6016352
mideaofficial,https://ace.tokopedia.com/search/product/v4?shop_id=9829387&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,9829387
miniso-official,https://ace.tokopedia.com/search/product/v4?shop_id=2661965&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,2661965
mitsubishimotors,https://ace.tokopedia.com/search/product/v4?shop_id=12973451&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,12973451
modena,https://ace.tokopedia.com/search/product/v4?shop_id=2403817&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,2403817
morinagaofficial,https://ace.tokopedia.com/search/product/v4?shop_id=39120225&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,
mother-of-pearl,https://ace.tokopedia.com/search/product/v4?shop_id=14127687&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,14127687
mothercare,https://ace.tokopedia.com/search/product/v4?shop_id=7985062&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,7985062
myfruit,https://ace.tokopedia.com/search/product/v4?shop_id=5136702&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,
nankidofficial,https://ace.tokopedia.com/search/product/v4?shop_id=6693117&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,6693117
nayz-official,https://ace.tokopedia.com/search/product/v4?shop_id=3697025&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,3697025
nespressoid,https://ace.tokopedia.com/search/product/v4?shop_id=8102541&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,
nestle-indonesia,https://ace.tokopedia.com/search/product/v4?shop_id=2923486&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,2923486
