shop_code,shop_name,total_page,shop_id
justice.official,Justice Official Shop,2,240229762
gingersnaps.official,Gingersnaps Official Shop,2,242586087
vanillahijabofficial,vanillahijabofficial,2,93699117
shopatvelvet,shopatvelvet Official Shop,2,83088067
thisisapril,THIS IS APRIL Official Shop,2,60731464
voovaindonesiaofficialstore,Voova Indonesia Official Shop,2,748840701
lionstar.id,Lion Star Official Shop,2,121802576
gm_bear,GM Bear Official Shop,2,149205613
dysonofficialstore,Dyson Official Shop,2,317011437
electroluxindonesia,Electrolux Official Shop,2,182072779
kitchenaid,KitchenAid Official Shop,2,28713077
lgofficialshopm,LG Indonesia Official Shop,2,120953039
delonghiofficial,Delonghi Official Shop,2,240805014
gree.id,Gree Official Store,2,57328541
mideaofficial,Midea Official Shop,2,261960113
grohe.id,Grohe Official Shop,2,419983792
totosuryapertiwi,TOTO Official Shop,2,21982827
gaaborofficialshop,Gaabor Official Shop,2,510291426
philipslighting,Philips Lighting Official Shop,2,30082703
oxone.official,Oxone Official Shop,2,133513066
kirinindonesia,Kirin Official Shop,2,55056971
locknlock.id,LocknLock Indonesia Official Store,2,13192620
boldeofficialstore,BOLDe Official Store,2,72109688
debellinpremiumcookware,Debellin Premium Cookware,2,29644733
maxim.officialstore,Maxim Official Store,2,20296128
moegenindonesia,MOEGEN Official Shop,2,158942788
freemir.original.store,freemir Original Store,2,184657283
steincookware,Stein Official Shop,2,198711704
tokovicenza,Vicenza Official Store,2,41151464
hafele.indo,HAFELE Official Store,2,192711047
lenovo.id,Lenovo Computer Official Shop,2,26026296
coocaa.official.store,Coocaa Official Store,2,39406064
samsung.official,Samsung Official Shop,2,52635036
acer.official.id,Acer Official Store,2,37968209
asusofficialshop,Asus Official Shop,2,54873248
miyako.official,Miyako Official Shop,2,77534341
yongmamagicinlife,YONG MA Official Shop,2,98552902
polytron.id,Polytron Official Store,2,35357809
mitoelectronic,Mito Electronic Official Shop,2,24544583
advan.id,Advan Official Store,2,30232273
tclindonesia,TCL Official Shop,2,227074971
xiaomi.official.id,Xiaomi Official Store,2,51925611
sankenofficial,Sanken Official Shop,2,59886651
